# FES reconstruction from WT-MetaD HILLS (Python, 96k Gaussians)
# CV (Ang)  FES (kJ/mol)
5.159319  0.000000
5.176353  0.000000
5.193387  0.000000
5.210421  0.000000
5.227455  0.000000
5.244489  0.000000
5.261523  0.000000
5.278557  0.000000
5.295591  0.000000
5.312625  0.000000
5.329659  0.000000
5.346693  0.000000
5.363727  0.000000
5.380762  0.000000
5.397796  0.000000
5.414830  0.000000
5.431864  0.000000
5.448898  0.000000
5.465932  0.000000
5.482966  0.000000
5.500000  0.000000
